STDATUM;AIRLINE;TRIP;AD;AIRLINE_VK;TRIP_VK;STDATUM_VK;AD_VK;SCHENGEN;ABFERTIGUNGSART;TYP;POS;ROU;STTIME;SIKA
20160704;4U;2006;D;4U;2755;20160704;A;SCHENGEN;J;320;10;TXL;1845;174
20160704;4U;2757;A;4U;2860;20160705;D;SCHENGEN;J;319;35;VIE;2200;144
20160705;4U;2860;D;4U;2757;20160704;A;SCHENGEN;J;319;35;NAP;630;144
20160704;4U;2759;A;4U;2964;20160704;D;SCHENGEN;J;320;40;VIE;955;174
20160704;4U;2964;D;4U;2759;20160704;A;NSCHENGEN;J;320;40;SPU;1035;174
20160704;4U;2781;A;4U;2884;20160704;D;SCHENGEN;J;319;41;BUD;1010;144
20160704;4U;2884;D;4U;2781;20160704;A;SCHENGEN;J;319;41;FCO;1050;144
20160704;4U;2785;A;4U;3002;20160705;D;SCHENGEN;J;319;19;BUD;2245;144
20160705;4U;3002;D;4U;2785;20160704;A;MAIL;M;319;19;TXL;15;0
20160704;4U;2797;A;4U;2462;20160704;D;SCHENGEN;J;319;18;KEF;620;144
20160704;4U;2462;D;4U;2797;20160704;A;NSCHENGEN;J;319;18;LHR;740;144
20160704;4U;2819;A;4U;2040;20160704;D;SCHENGEN;J;319;11;CTA;1455;144
20160704;4U;2040;D;4U;2819;20160704;A;SCHENGEN;J;319;11;HAM;1525;144
20160704;4U;2821;A;4U;2046;20160704;D;SCHENGEN;J;319;10;MXP;915;144
20160704;4U;2046;D;4U;2821;20160704;A;SCHENGEN;J;319;10;HAM;955;144
20160704;4U;2823;A;4U;2074;20160705;D;SCHENGEN;J;319;40;MXP;2120;144
20160705;4U;2074;D;4U;2823;20160704;A;SCHENGEN;J;319;40;LEJ;655;144
20160704;4U;2875;A;4U;2164;20160704;D;SCHENGEN;J;319;56;BRI;1400;144
20160704;4U;2164;D;4U;2875;20160704;A;SCHENGEN;J;319;56;BRU;1850;144
20160704;4U;2885;A;4U;2004;20160704;D;SCHENGEN;J;319;10;FCO;1445;144
20160704;4U;2004;D;4U;2885;20160704;A;SCHENGEN;J;319;10;TXL;1520;144
20160704;4U;2965;A;4U;2754;20160704;D;NSCHENGEN;J;320;42;SPU;1405;174
20160704;4U;2754;D;4U;2965;20160704;A;SCHENGEN;J;320;42;VIE;1450;174
20160704;4U;2967;A;4U;2162;20160704;D;NSCHENGEN;J;319;41;ZAD;1415;144
20160704;4U;2162;D;4U;2967;20160704;A;SCHENGEN;J;319;41;BRU;1530;144
20160704;4U;2977;A;4U;2758;20160705;D;NSCHENGEN;J;320;45;ZAG;2055;174
20160705;4U;2758;D;4U;2977;20160704;A;SCHENGEN;J;320;45;VIE;645;174
20160704;4U;7042;A;4U;7043;20160704;D;SCHENGEN;J;319;12;HAM;1650;150
20160704;4U;7043;D;4U;7042;20160704;A;SCHENGEN;J;319;12;HAM;1725;150
20160704;4U;7044;A;4U;7045;20160704;D;SCHENGEN;J;319;12;HAM;755;150
20160704;4U;7045;D;4U;7044;20160704;A;SCHENGEN;J;319;12;HAM;830;150
20160704;4U;8000;A;4U;8001;20160704;D;SCHENGEN;J;320;56;TXL;755;174
20160704;4U;8001;D;4U;8000;20160704;A;SCHENGEN;J;320;56;TXL;830;174
20160704;4U;8002;A;4U;8003;20160704;D;SCHENGEN;J;319;10;TXL;1140;144
20160704;4U;8003;D;4U;8002;20160704;A;SCHENGEN;J;319;10;TXL;1215;144
20160704;4U;8006;A;4U;8007;20160704;D;SCHENGEN;J;320;56;TXL;2010;174
20160704;4U;8007;D;4U;8006;20160704;A;SCHENGEN;J;320;56;TXL;2045;174
20160704;4U;8010;A;4U;8011;20160704;D;SCHENGEN;J;319;10;TXL;850;144
20160704;4U;8011;D;4U;8010;20160704;A;SCHENGEN;J;319;10;TXL;925;144
20160705;4U;2005;A;4U;2756;20160705;D;SCHENGEN;J;319;46;TXL;1825;144
20160705;4U;2756;D;4U;2005;20160705;A;SCHENGEN;J;319;46;VIE;1900;144
20160705;4U;2007;A;4U;2758;20160706;D;SCHENGEN;J;320;42;TXL;2150;174
20160706;4U;2758;D;4U;2007;20160705;A;SCHENGEN;J;320;42;VIE;645;174
20160705;4U;2013;A;4U;2884;20160705;D;SCHENGEN;J;319;41;SXF;945;144
20160705;4U;2884;D;4U;2013;20160705;A;SCHENGEN;J;319;41;FCO;1050;144
20160705;4U;2015;A;4U;2824;20160705;D;SCHENGEN;J;319;46;TXL;945;144
20160705;4U;2824;D;4U;2015;20160705;A;SCHENGEN;J;319;46;OLB;1020;144
20160705;4U;2019;A;4U;2462;20160706;D;SCHENGEN;J;319;41;SXF;2210;144
20160706;4U;2462;D;4U;2019;20160705;A;NSCHENGEN;J;319;41;LHR;740;144
20160705;4U;2025;A;4U;2618;20160705;D;SCHENGEN;J;319;54;DRS;910;144
20160705;4U;2618;D;4U;2025;20160705;A;SCHENGEN;J;319;54;CFU;945;144
20160705;4U;2027;A;4U;2074;20160706;D;SCHENGEN;J;319;75;DRS;2110;144
20160706;4U;2074;D;4U;2027;20160705;A;SCHENGEN;J;319;75;LEJ;655;144
20160705;4U;2031;A;4U;2682;20160705;D;SCHENGEN;J;319;40;BRE;900;144
20160705;4U;2682;D;4U;2031;20160705;A;SCHENGEN;J;319;40;SKG;940;144
20160705;4U;2033;A;4U;2164;20160705;D;SCHENGEN;J;319;43;BRE;1815;144
20160705;4U;2164;D;4U;2033;20160705;A;SCHENGEN;J;319;43;BRU;1850;144
20160705;4U;2035;A;4U;2024;20160706;D;SCHENGEN;J;319;46;BRE;2125;144
20160706;4U;2024;D;4U;2035;20160705;A;SCHENGEN;J;319;46;DRS;640;144
20160705;4U;2041;A;4U;2378;20160705;D;SCHENGEN;J;319;42;HAM;1830;144
20160705;4U;2378;D;4U;2041;20160705;A;NSCHENGEN;J;319;42;STN;1915;144
20160705;4U;2045;A;4U;2688;20160705;D;SCHENGEN;J;320;42;HAM;940;174
20160705;4U;2688;D;4U;2045;20160705;A;SCHENGEN;J;320;42;KVA;1020;174
20160705;4U;2053;A;4U;2420;20160705;D;SCHENGEN;J;319;43;HAJ;920;144
20160705;4U;2420;D;4U;2053;20160705;A;SCHENGEN;J;319;43;NCE;950;144
20160705;4U;2055;A;4U;2820;20160706;D;SCHENGEN;J;319;40;HAJ;2200;144
20160706;4U;2820;D;4U;2055;20160705;A;SCHENGEN;J;319;40;MXP;640;144
20160705;4U;2073;A;4U;2034;20160705;D;SCHENGEN;J;319;40;LEJ;1805;144
20160705;4U;2034;D;4U;2073;20160705;A;SCHENGEN;J;319;40;BRE;1845;144
20160705;4U;2075;A;4U;2818;20160705;D;SCHENGEN;J;319;45;LEJ;925;144
20160705;4U;2818;D;4U;2075;20160705;A;SCHENGEN;J;319;45;CTA;1000;144
20160705;4U;2161;A;4U;2596;20160705;D;SCHENGEN;J;319;55;BRU;920;144
20160705;4U;2596;D;4U;2161;20160705;A;SCHENGEN;J;319;55;PMI;1010;144
20160705;4U;2165;A;4U;2014;20160706;D;SCHENGEN;J;319;10;BRU;2135;144
20160706;4U;2014;D;4U;2165;20160705;A;SCHENGEN;J;319;10;TXL;640;144
20160705;4U;2181;A;4U;2054;20160705;D;SCHENGEN;J;319;31;AMS;1855;144
20160705;4U;2054;D;4U;2181;20160705;A;SCHENGEN;J;319;31;HAJ;1930;144
20160705;4U;2379;A;4U;2648;20160706;D;NSCHENGEN;J;319;45;STN;2245;144
20160706;4U;2648;D;4U;2379;20160705;A;SCHENGEN;J;319;45;FAO;600;144
20160705;4U;2421;A;4U;2588;20160705;D;SCHENGEN;J;319;41;NCE;1320;144
20160705;4U;2588;D;4U;2421;20160705;A;SCHENGEN;J;319;41;PMI;1350;144
20160705;4U;2461;A;4U;2464;20160705;D;NSCHENGEN;J;319;44;LHR;1640;144
20160705;4U;2464;D;4U;2461;20160705;A;NSCHENGEN;J;319;44;LHR;1720;144
20160705;4U;2463;A;4U;2460;20160705;D;NSCHENGEN;J;319;41;LHR;1145;144
20160705;4U;2460;D;4U;2463;20160705;A;NSCHENGEN;J;319;41;LHR;1240;144
20160705;4U;2465;A;4U;2030;20160706;D;NSCHENGEN;J;319;;LHR;2135;144
20160706;4U;2030;D;4U;2465;20160705;A;SCHENGEN;J;319;;BRE;620;144
20160705;4U;2521;A;4U;2528;20160706;D;SCHENGEN;J;320;43;BCN;2155;180
20160706;4U;2528;D;4U;2521;20160705;A;SCHENGEN;J;320;43;BCN;635;180
20160705;4U;2529;A;4U;2592;20160705;D;SCHENGEN;J;320;43;BCN;1105;180
20160705;4U;2592;D;4U;2529;20160705;A;SCHENGEN;J;320;43;PMI;1145;180
20160705;4U;2589;A;4U;2018;20160705;D;SCHENGEN;J;319;10;PMI;1830;144
20160705;4U;2018;D;4U;2589;20160705;A;SCHENGEN;J;319;10;SXF;1905;144
20160705;4U;2593;A;4U;2520;20160705;D;SCHENGEN;J;320;43;PMI;1630;180
20160705;4U;2520;D;4U;2593;20160705;A;SCHENGEN;J;320;43;BCN;1725;180
20160705;4U;2597;A;4U;2180;20160705;D;SCHENGEN;J;319;44;PMI;1455;144
20160705;4U;2180;D;4U;2597;20160705;A;SCHENGEN;J;319;44;AMS;1535;144
20160705;4U;2619;A;4U;2032;20160705;D;SCHENGEN;J;319;40;CFU;1450;144
20160705;4U;2032;D;4U;2619;20160705;A;SCHENGEN;J;319;40;BRE;1530;144
20160705;4U;2683;A;4U;2040;20160705;D;SCHENGEN;J;319;56;SKG;1455;144
20160705;4U;2040;D;4U;2683;20160705;A;SCHENGEN;J;319;56;HAM;1525;144
20160705;4U;2685;A;4U;2044;20160706;D;SCHENGEN;J;320;12;ATH;2315;174
20160706;4U;2044;D;4U;2685;20160705;A;SCHENGEN;J;320;12;HAM;635;174
20160705;4U;2689;A;4U;2684;20160705;D;SCHENGEN;J;320;42;KVA;1555;174
20160705;4U;2684;D;4U;2689;20160705;A;SCHENGEN;J;320;42;ATH;1715;174
20160705;4U;2735;A;4U;2850;20160705;D;SCHENGEN;J;319;44;KRK;1340;144
20160705;4U;2850;D;4U;2735;20160705;A;SCHENGEN;J;319;44;BDS;1415;144
20160705;4U;2755;A;4U;2006;20160705;D;SCHENGEN;J;320;12;VIE;1755;174
20160705;4U;2006;D;4U;2755;20160705;A;SCHENGEN;J;320;12;TXL;1845;174
20160705;4U;2757;A;4U;2160;20160706;D;SCHENGEN;J;319;44;VIE;2200;144
20160706;4U;2160;D;4U;2757;20160705;A;SCHENGEN;J;319;44;BRU;635;144
20160705;4U;2759;A;4U;2780;20160705;D;SCHENGEN;J;320;44;VIE;955;174
20160705;4U;2780;D;4U;2759;20160705;A;SCHENGEN;J;320;44;BUD;1050;174
20160705;4U;2781;A;4U;2754;20160705;D;SCHENGEN;J;320;42;BUD;1410;174
20160705;4U;2754;D;4U;2781;20160705;A;SCHENGEN;J;320;42;VIE;1450;174
20160705;4U;2785;A;4U;3002;20160706;D;SCHENGEN;J;319;56;BUD;2245;144
20160706;4U;3002;D;4U;2785;20160705;A;MAIL;M;319;56;TXL;15;0
20160705;4U;2819;A;4U;2822;20160705;D;SCHENGEN;J;319;55;CTA;1500;144
20160705;4U;2822;D;4U;2819;20160705;A;SCHENGEN;J;319;55;MXP;1845;144
20160705;4U;2821;A;4U;2734;20160705;D;SCHENGEN;J;319;53;MXP;915;144
20160705;4U;2734;D;4U;2821;20160705;A;SCHENGEN;J;319;53;KRK;955;144
20160705;4U;2823;A;4U;2052;20160706;D;SCHENGEN;J;319;54;MXP;2120;144
20160706;4U;2052;D;4U;2823;20160705;A;SCHENGEN;J;319;54;HAJ;650;144
20160705;4U;2825;A;4U;2072;20160705;D;SCHENGEN;J;319;46;OLB;1415;144
20160705;4U;2072;D;4U;2825;20160705;A;SCHENGEN;J;319;46;LEJ;1530;144
20160705;4U;2851;A;4U;2784;20160705;D;SCHENGEN;J;319;41;BDS;1845;144
20160705;4U;2784;D;4U;2851;20160705;A;SCHENGEN;J;319;41;BUD;1920;144
20160705;4U;2861;A;4U;2026;20160705;D;SCHENGEN;J;319;45;NAP;1050;144
20160705;4U;2026;D;4U;2861;20160705;A;SCHENGEN;J;319;45;DRS;1835;144
20160705;4U;2885;A;4U;2004;20160705;D;SCHENGEN;J;319;11;FCO;1445;144
20160705;4U;2004;D;4U;2885;20160705;A;SCHENGEN;J;319;11;TXL;1520;144
20160705;4U;3001;A;4U;2030;20160705;D;MAIL;M;319;19;TXL;130;0
20160705;4U;2030;D;4U;3001;20160705;A;SCHENGEN;J;319;19;BRE;620;144
20160705;4U;7042;A;4U;7043;20160705;D;SCHENGEN;J;319;12;HAM;1650;150
20160705;4U;7043;D;4U;7042;20160705;A;SCHENGEN;J;319;12;HAM;1725;150
20160705;4U;7048;A;4U;7049;20160705;D;SCHENGEN;J;319;12;HAM;2025;150
20160705;4U;7049;D;4U;7048;20160705;A;SCHENGEN;J;319;12;HAM;2100;150
20160705;4U;8000;A;4U;8001;20160705;D;SCHENGEN;J;319;10;TXL;755;144
20160705;4U;8001;D;4U;8000;20160705;A;SCHENGEN;J;319;10;TXL;830;144
20160705;4U;8004;A;4U;8005;20160705;D;SCHENGEN;J;319;11;TXL;1625;144
20160705;4U;8005;D;4U;8004;20160705;A;SCHENGEN;J;319;11;TXL;1700;144
20160705;4U;8006;A;4U;8007;20160705;D;SCHENGEN;J;319;10;TXL;2010;144
20160705;4U;8007;D;4U;8006;20160705;A;SCHENGEN;J;319;10;TXL;2045;144
20160705;4U;8010;A;4U;8011;20160705;D;SCHENGEN;J;319;10;TXL;850;144
20160705;4U;8011;D;4U;8010;20160705;A;SCHENGEN;J;319;10;TXL;925;144
20160706;4U;2005;A;4U;2756;20160706;D;SCHENGEN;J;319;46;TXL;1825;144
20160706;4U;2756;D;4U;2005;20160706;A;SCHENGEN;J;319;46;VIE;1900;144
20160706;4U;2007;A;4U;2758;20160707;D;SCHENGEN;J;320;42;TXL;2150;174
20160707;4U;2758;D;4U;2007;20160706;A;SCHENGEN;J;320;42;VIE;645;174
20160706;4U;2013;A;4U;2780;20160706;D;SCHENGEN;J;319;45;SXF;945;144
20160706;4U;2780;D;4U;2013;20160706;A;SCHENGEN;J;319;45;BUD;1050;144
20160706;4U;2015;A;4U;2976;20160706;D;SCHENGEN;J;319;43;TXL;945;144
20160706;4U;2976;D;4U;2015;20160706;A;NSCHENGEN;J;319;43;ZAG;1045;144
20160706;4U;2019;A;4U;2030;20160707;D;SCHENGEN;J;319;75;SXF;2210;144
20160707;4U;2030;D;4U;2019;20160706;A;SCHENGEN;J;319;75;BRE;620;144
20160706;4U;2025;A;4U;2588;20160706;D;SCHENGEN;J;319;53;DRS;910;144
20160706;4U;2588;D;4U;2025;20160706;A;SCHENGEN;J;319;53;PMI;1045;144
20160706;4U;2027;A;4U;2784;20160706;D;SCHENGEN;J;319;45;DRS;1845;144
20160706;4U;2784;D;4U;2027;20160706;A;SCHENGEN;J;319;45;BUD;1920;144
20160706;4U;2031;A;4U;2530;20160706;D;SCHENGEN;J;319;55;BRE;900;144
20160706;4U;2530;D;4U;2031;20160706;A;SCHENGEN;J;319;55;VLC;940;144
20160706;4U;2033;A;4U;2822;20160706;D;SCHENGEN;J;319;41;BRE;1815;144
20160706;4U;2822;D;4U;2033;20160706;A;SCHENGEN;J;319;41;MXP;1845;144
20160706;4U;2035;A;4U;3002;20160707;D;SCHENGEN;J;319;19;BRE;2125;144
20160707;4U;3002;D;4U;2035;20160706;A;MAIL;M;319;19;TXL;15;0
20160706;4U;2041;A;4U;2018;20160706;D;SCHENGEN;J;319;42;HAM;1830;144
20160706;4U;2018;D;4U;2041;20160706;A;SCHENGEN;J;319;42;SXF;1905;144
20160706;4U;2043;A;4U;2012;20160707;D;SCHENGEN;J;319;46;HAM;2150;144
20160707;4U;2012;D;4U;2043;20160706;A;SCHENGEN;J;319;46;SXF;640;144
20160706;4U;2045;A;4U;2604;20160706;D;SCHENGEN;J;320;42;HAM;940;174
20160706;4U;2604;D;4U;2045;20160706;A;SCHENGEN;J;320;42;LIS;1015;174
20160706;4U;2053;A;4U;2596;20160706;D;SCHENGEN;J;319;54;HAJ;920;144
20160706;4U;2596;D;4U;2053;20160706;A;SCHENGEN;J;319;54;PMI;1010;144
20160706;4U;2055;A;4U;2160;20160707;D;SCHENGEN;J;319;53;HAJ;2200;144
20160707;4U;2160;D;4U;2055;20160706;A;SCHENGEN;J;319;53;BRU;635;144
20160706;4U;2073;A;4U;2042;20160706;D;SCHENGEN;J;319;12;LEJ;1805;144
20160706;4U;2042;D;4U;2073;20160706;A;SCHENGEN;J;319;12;HAM;1840;144
20160706;4U;2075;A;4U;2516;20160706;D;SCHENGEN;J;319;41;LEJ;925;144
20160706;4U;2516;D;4U;2075;20160706;A;SCHENGEN;J;319;41;BIO;1020;144
20160706;4U;2161;A;4U;2874;20160706;D;SCHENGEN;J;319;53;BRU;920;144
20160706;4U;2874;D;4U;2161;20160706;A;SCHENGEN;J;319;53;BRI;950;144
20160706;4U;2163;A;4U;2164;20160706;D;SCHENGEN;J;319;44;BRU;1815;144
20160706;4U;2164;D;4U;2163;20160706;A;SCHENGEN;J;319;44;BRU;1850;144
20160706;4U;2165;A;4U;2052;20160707;D;SCHENGEN;J;319;45;BRU;2135;144
20160707;4U;2052;D;4U;2165;20160706;A;SCHENGEN;J;319;45;HAJ;650;144
20160706;4U;2181;A;4U;2054;20160706;D;SCHENGEN;J;319;53;AMS;1855;144
20160706;4U;2054;D;4U;2181;20160706;A;SCHENGEN;J;319;53;HAJ;1930;144
20160706;4U;2379;A;4U;2462;20160707;D;NSCHENGEN;J;319;44;STN;2245;144
20160707;4U;2462;D;4U;2379;20160706;A;NSCHENGEN;J;319;44;LHR;740;144
20160706;4U;2461;A;4U;2464;20160706;D;NSCHENGEN;J;319;44;LHR;1640;144
20160706;4U;2464;D;4U;2461;20160706;A;NSCHENGEN;J;319;44;LHR;1720;144
20160706;4U;2463;A;4U;2460;20160706;D;NSCHENGEN;J;319;43;LHR;1145;144
20160706;4U;2460;D;4U;2463;20160706;A;NSCHENGEN;J;319;43;LHR;1240;144
20160706;4U;2465;A;4U;2780;20160707;D;NSCHENGEN;J;319;75;LHR;2135;144
20160707;4U;2780;D;4U;2465;20160706;A;SCHENGEN;J;319;75;BUD;650;144
20160706;4U;2517;A;4U;2072;20160706;D;SCHENGEN;J;319;45;BIO;1455;144
20160706;4U;2072;D;4U;2517;20160706;A;SCHENGEN;J;319;45;LEJ;1530;144
20160706;4U;2521;A;4U;2044;20160707;D;SCHENGEN;J;320;32;BCN;2155;174
20160707;4U;2044;D;4U;2521;20160706;A;SCHENGEN;J;320;32;HAM;635;174
20160706;4U;2529;A;4U;2884;20160706;D;SCHENGEN;J;320;44;BCN;1105;180
20160706;4U;2884;D;4U;2529;20160706;A;SCHENGEN;J;320;44;FCO;1140;180
20160706;4U;2531;A;4U;2032;20160706;D;SCHENGEN;J;319;44;VLC;1500;144
20160706;4U;2032;D;4U;2531;20160706;A;SCHENGEN;J;319;44;BRE;1530;144
20160706;4U;2589;A;4U;2026;20160706;D;SCHENGEN;J;319;46;PMI;1535;144
20160706;4U;2026;D;4U;2589;20160706;A;SCHENGEN;J;319;46;DRS;1610;144
20160706;4U;2595;A;4U;2378;20160706;D;SCHENGEN;J;319;;IBZ;1845;144
20160706;4U;2378;D;4U;2595;20160706;A;NSCHENGEN;J;319;;STN;1915;144
20160706;4U;2597;A;4U;2180;20160706;D;SCHENGEN;J;319;55;PMI;1455;144
20160706;4U;2180;D;4U;2597;20160706;A;SCHENGEN;J;319;55;AMS;1535;144
20160706;4U;2605;A;4U;2520;20160706;D;SCHENGEN;J;320;43;LIS;1655;174
20160706;4U;2520;D;4U;2605;20160706;A;SCHENGEN;J;320;43;BCN;1725;174
20160706;4U;2649;A;4U;2594;20160706;D;SCHENGEN;J;319;44;FAO;1230;144
20160706;4U;2594;D;4U;2649;20160706;A;SCHENGEN;J;319;44;IBZ;1335;144
20160706;4U;2673;A;4U;2006;20160706;D;SCHENGEN;J;320;10;HER;1745;174
20160706;4U;2006;D;4U;2673;20160706;A;SCHENGEN;J;320;10;TXL;1845;174
20160706;4U;2683;A;4U;2528;20160707;D;SCHENGEN;J;320;41;SKG;2130;180
20160707;4U;2528;D;4U;2683;20160706;A;SCHENGEN;J;320;41;BCN;635;180
20160706;4U;2755;A;4U;2034;20160706;D;SCHENGEN;J;319;43;VIE;1755;144
20160706;4U;2034;D;4U;2755;20160706;A;SCHENGEN;J;319;43;BRE;1845;144
20160706;4U;2757;A;4U;2074;20160707;D;SCHENGEN;J;319;;VIE;2200;144
20160707;4U;2074;D;4U;2757;20160706;A;SCHENGEN;J;319;;LEJ;655;144
20160706;4U;2759;A;4U;2672;20160706;D;SCHENGEN;J;320;55;VIE;955;174
20160706;4U;2672;D;4U;2759;20160706;A;SCHENGEN;J;320;55;HER;1110;174
20160706;4U;2781;A;4U;2040;20160706;D;SCHENGEN;J;319;46;BUD;1410;144
20160706;4U;2040;D;4U;2781;20160706;A;SCHENGEN;J;319;46;HAM;1525;144
20160706;4U;2785;A;4U;2820;20160707;D;SCHENGEN;J;319;;BUD;2245;144
20160707;4U;2820;D;4U;2785;20160706;A;SCHENGEN;J;319;;MXP;640;144
20160706;4U;2821;A;4U;5712;20160706;D;SCHENGEN;J;319;41;MXP;915;144
